教育招生考试院上面给的招生信息/选考信息网址,,三种编号也不知道是啥,,,所在地区,,,办学层次,,找不到名称的话这边有2020年和2024年招生用的学校名,
扬州大学广陵学院,http://glxy.yzu.edu.cn/col/col6695/index.html,4132013987,13987,D987,江苏省教育厅,江苏,扬州市,本科,民办,扬州大学广陵学院,扬州大学广陵学院
江苏师范大学科文学院,http://kwzs.jsnu.edu.cn,4132013988,13988,D988,江苏省教育厅,江苏,徐州市,本科,民办,江苏师范大学科文学院,江苏师范大学科文学院
南京邮电大学通达学院,www.nytdc.edu.cn,4132013989,13989,D989,江苏省教育厅,江苏,扬州市,本科,民办,南京邮电大学通达学院,南京邮电大学通达学院
南京财经大学红山学院,http://hs.nufe.edu.cn/,4132013990,13990,D990,江苏省教育厅,江苏,镇江市,本科,民办,南京财经大学红山学院,南京财经大学红山学院
江苏科技大学苏州理工学院,http://zs.justsit.edu.cn/?tdsourcetag=s_pctim_aiomsg,4132013991,13991,D991,江苏省教育厅,江苏,苏州市,本科,民办,江苏科技大学苏州理工学院,江苏科技大学苏州理工学院
常州大学怀德学院,http://hdzs.cczu.edu.cn/,4132013992,13992,D992,江苏省教育厅,江苏,泰州市,本科,民办,常州大学怀德学院,常州大学怀德学院
南通大学杏林学院,xlxy.ntu.edu.cn,4132013993,13993,D993,江苏省教育厅,江苏,南通市,本科,民办,南通大学杏林学院,南通大学杏林学院
南京审计大学金审学院,http://www.naujsc.edu.cn/,4132013994,13994,D994,江苏省教育厅,江苏,南京市,本科,民办,南京审计大学金审学院,南京审计大学金审学院
南京机电职业技术学院,http://www.nimt.edu.cn/website/enrollment/index.jsp,4132014056,14056,,江苏省,江苏,南京市,专科,,,
苏州高博软件技术职业学院,http://zs.gist.edu.cn/,4132014163,14163,,江苏省教育厅,江苏,苏州市,专科,民办,,
南京旅游职业学院,https://zs.nith.edu.cn/,4132014180,14180,,江苏省,江苏,南京市,专科,,,
江苏卫生健康职业学院,http://www.jssmu.edu.cn/zsxxw/,4132014255,14255,,江苏省,江苏,南京市,专科,,,
苏州信息职业技术学院,https://gaokao.chsi.com.cn,4132014256,14256,,江苏省,江苏,苏州市,专科,,,
宿迁泽达职业技术学院,http://www.zdct.cn/web,4132014293,14293,,江苏省教育厅,江苏,宿迁市,专科,民办,,
苏州工业园区服务外包职业学院,http://zs.siso.edu.cn/#/,4132014295,14295,,江苏省,江苏,苏州市,专科,,,
徐州幼儿师范高等专科学校,zjc.xzyz.edu.cn,4132014329,14329,,江苏省,江苏,徐州市,专科,,,
徐州生物工程职业技术学院,http://zs.xzsw.net,4132014401,14401,,江苏省,江苏,徐州市,专科,,,
南京城市职业学院,https://zjc.ncc.edu.cn/,4132014001,14422,,江苏省,江苏,南京市,专科,,,
江苏第二师范学院,http://zs.jssnu.edu.cn/,4132014436,14436,E436,江苏省,江苏,南京市,本科,,江苏第二师范学院,江苏第二师范学院
江苏商贸职业学院,http://zsc.jsbc.edu.cn,4132014475,14475,,江苏省,江苏,南通市,专科,,,
扬州中瑞酒店职业学院,http://www.yhiedu.cn,4132014528,14528,,江苏省教育厅,江苏,扬州市,专科,民办,,
江苏护理职业学院,http://zs.jscn.edu.cn/,4132014541,14541,,江苏省,江苏,淮安市,专科,,,
江苏财会职业学院,http://www.jscfa.edu.cn/zsjy/,4132014542,14542,,江苏省,江苏,连云港市,专科,,,
江苏城乡建设职业学院,http://zs.js-cj.com:8888/,4132014543,14543,,江苏省,江苏,常州市,专科,,,
江苏航空职业技术学院,www.jatc.edu.cn,4132014568,14568,,江苏省,江苏,镇江市,专科,,,
江苏安全技术职业学院,http://zsb.jscst.edu.cn,4132014589,14589,,江苏省,江苏,徐州市,专科,,,
江苏旅游职业学院,http://www.jstc.edu.cn/zs/,4132014604,14604,,江苏省,江苏,扬州市,专科,,,
盐城幼儿师范高等专科学校,http://zsjyc.yyz.edu.cn/,3632000466,15466,,江苏省,江苏,盐城市,专科,,,
西交利物浦大学,https://www.xjtlu.edu.cn/zh/admissions/domestic/ug/,4132016403,16302,F302,江苏省教育厅,江苏,苏州市,本科,中外合作办学,西交利物浦大学,西交利物浦大学
昆山杜克大学,https://admissions.dukekunshan.edu.cn/recruitment-guidelines/,4132016406,16406,F406,江苏省教育厅,江苏,昆山市,本科,中外合作办学,昆山杜克大学,
中国人民大学(苏州校区),https://rdzs.ruc.edu.cn/,,19002,H002,,江苏,,,,中国人民大学(苏州校区),中国人民大学(苏州校区)
陆军工程大学,无,,91004,P004,,江苏,,,,陆军工程大学,陆军工程大学
浙江大学,https://zdzsc.zju.edu.cn,4133010335,10335,A335,教育部,浙江,杭州市,本科,,浙江大学,浙江大学
杭州电子科技大学,http://zhaosheng.hdu.edu.cn/,4133010336,10336,A336,浙江省,浙江,杭州市,本科,,杭州电子科技大学,杭州电子科技大学
浙江工业大学,http://zs.zjut.edu.cn/,4133010337,10337,A337,浙江省,浙江,杭州市,本科,,浙江工业大学,浙江工业大学
浙江理工大学,http://zs.zstu.edu.cn/,4133010338,10338,A338,浙江省,浙江,杭州市,本科,,浙江理工大学,浙江理工大学
浙江海洋大学,http://zs.zjou.edu.cn,4133010340,10340,A340,浙江省,浙江,舟山市,本科,,浙江海洋大学,浙江海洋大学
浙江农林大学,https://zs.zafu.edu.cn/,4133010341,10341,A341,浙江省,浙江,杭州市,本科,,浙江农林大学,浙江农林大学
温州医科大学,http://zhaosheng.wmu.edu.cn/,4133010343,10343,A343,浙江省,浙江,温州市,本科,,温州医科大学,温州医科大学
浙江中医药大学,https://zsb.zcmu.edu.cn,4133010344,10344,A344,浙江省,浙江,杭州市,本科,,浙江中医药大学,浙江中医药大学
浙江师范大学,http://zs.zjnu.edu.cn/,4133010345,10345,A345,浙江省,浙江,金华市,本科,,浙江师范大学,浙江师范大学
杭州师范大学,http://bkzs.hznu.edu.cn/,4133010346,10346,A346,浙江省,浙江,杭州市,本科,,杭州师范大学,杭州师范大学
湖州师范学院,http://zsw.zjhu.edu.cn/,4133010347,10347,A347,浙江省,浙江,湖州市,本科,,湖州师范学院,湖州师范学院
绍兴文理学院,http://zs.usx.edu.cn/,4133010349,10349,A349,浙江省,浙江,绍兴市,本科,,绍兴文理学院,绍兴文理学院
台州学院,https://zs.tzc.edu.cn/,4133010350,10350,A350,浙江省,浙江,台州市,本科,,台州学院,台州学院
温州大学,http://zs.wzu.edu.cn/,4133010351,10351,A351,浙江省,浙江,温州市,本科,,温州大学,温州大学
丽水学院,http://zsw.lsu.edu.cn,4133010352,10352,A352,浙江省,浙江,丽水市,本科,,丽水学院,丽水学院
浙江工商大学,http://zhaoban.zjsu.edu.cn,4133010353,10353,A353,浙江省,浙江,杭州市,本科,,浙江工商大学,浙江工商大学
嘉兴学院,http://zsb.zjxu.edu.cn/,4133010354,10354,A354,浙江省,浙江,嘉兴市,本科,,嘉兴大学,嘉兴学院
中国美术学院,zb.caa.edu.cn,4133010355,10355,A355,浙江省,浙江,杭州市,本科,,中国美术学院,
中国计量大学,https://zs.cjlu.edu.cn/,4133010356,10356,A356,浙江省,浙江,杭州市,本科,,中国计量大学,中国计量大学
浙江万里学院,http://zsw.zwu.edu.cn/bkszsw/main.psp,4133010876,10876,,浙江省,浙江,宁波市,本科,,,
浙江科技学院,http://zsb.zust.edu.cn/IndexPage.htm,4133011057,11057,B057,浙江省,浙江,杭州市,本科,,浙江科技大学,浙江科技学院
宁波工程学院,https://zs.nbut.edu.cn/,4133011058,11058,B058,浙江省,浙江,宁波市,本科,,宁波工程学院,宁波工程学院
浙江财经大学,https://zs.zufe.edu.cn/index.htm,4133011482,11482,B482,浙江省,浙江,杭州市,本科,,浙江财经大学,浙江财经大学
浙江警察学院,http://www.zjjcxy.cn/zsxxw,4133011483,11483,,浙江省,浙江,杭州市,本科,,,
衢州学院,http://zs.qzc.edu.cn/,4133011488,11488,B488,浙江省,浙江,衢州市,本科,,衢州学院,衢州学院
宁波大学,https://zsb.nbu.edu.cn/,4133011646,11646,B646,浙江省,浙江,宁波市,本科,,宁波大学,宁波大学
浙江传媒学院,https://zsw.cuz.edu.cn,4133011647,11647,B647,浙江省,浙江,杭州市,本科,,浙江传媒学院,浙江传媒学院
浙江树人学院,http://zs.zjsru.edu.cn/,4133011842,11842,,浙江省教育厅,浙江,杭州市,本科,民办,,
浙江交通职业技术学院,http://zs.zjvtit.edu.cn/,4133012036,12036,C036,浙江省,浙江,杭州市,专科,,浙江交通职业技术学院,浙江交通职业技术学院
台州职业技术学院,https://zs.tzvtc.edu.cn/list/13/1.shtml,4133012790,12790,,浙江省,浙江,台州市,专科,,,
浙江越秀外国语学院,https://zs.zyufl.edu.cn/,4133012792,12792,,浙江省教育厅,浙江,绍兴市,本科,民办,,
浙江艺术职业学院,https://www2.zj-art.com/zhaosheng/,4133012863,12863,,浙江省,浙江,杭州市,专科,,,
浙江经贸职业技术学院,http://zs.zjiet.edu.cn/,4133012864,12864,,浙江省,浙江,杭州市,专科,,,
浙江经济职业技术学院,https://zsb.zjtie.edu.cn/,4133012866,12866,,浙江省,浙江,杭州市,专科,,,
浙江旅游职业学院,https://zs.tourzj.edu.cn/,4133012867,12867,,浙江省,浙江,杭州市,专科,,,
浙江警官职业学院,https://www.zjjy.com.cn/560/list.htm,4133012869,12869,,浙江省,浙江,杭州市,专科,,,
浙江金融职业学院,http://zsb.zfc.edu.cn,4133012870,12870,,浙江省,浙江,杭州市,专科,,,
嘉兴职业技术学院,http://zjw.jxvtc.edu.cn/,4133012874,12874,,浙江省,浙江,嘉兴市,专科,,,
绍兴职业技术学院,https://zsw.sxvtc.com/,4133012876,12876,,浙江省教育厅,浙江,绍兴市,专科,民办,,
义乌工商职业技术学院,https://zsb.ywicc.edu.cn/bkzn/zszc.htm,4133013003,13003,,浙江省,浙江,金华市,专科,,,
浙大城市学院,http://zs.zucc.edu.cn,4133013021,13021,D021,浙江省,浙江,杭州市,本科,,浙大城市学院,浙大城市学院
浙江纺织服装职业技术学院,http://zs.zjff.edu.cn,4133013025,13025,,浙江省,浙江,宁波市,专科,,,
杭州科技职业技术学院,http://www.hzpt.edu.cn/zs.htm,4133013026,13026,,浙江省,浙江,杭州市,专科,,,
浙江长征职业技术学院,http://zs.zjczxy.cn/,4133013027,13027,,浙江省教育厅,浙江,杭州市,专科,民办,,
嘉兴南洋职业技术学院,http://zsw.jxnyc.net/,4133013028,13028,,浙江省教育厅,浙江,嘉兴市,专科,民办,,
浙江广厦建设职业技术大学,http://zs.guangshaxy.com/zsxxxl05,4133013029,13029,,浙江省教育厅,浙江,金华市,本科,民办,,
杭州万向职业技术学院,https://zs.wxpoly.cn/,4133013030,13030,,浙江省教育厅,浙江,杭州市,专科,民办,,
浙江工业大学之江学院,http://zs.zzjc.edu.cn/,4133013275,13275,D275,浙江省教育厅,浙江,杭州市,本科,民办,浙江工业大学之江学院,
浙江药科职业大学,无,4133016207,13282,,浙江省,浙江,宁波市,本科,,,
浙江农林大学暨阳学院,http://zs.zjyc.edu.cn/,4133013283,13283,D283,浙江省教育厅,浙江,绍兴市,本科,民办,浙江农林大学暨阳学院,浙江农林大学暨阳学院
温州医科大学仁济学院,rjxy.wmu.edu.cn,4133013284,13284,D284,浙江省教育厅,浙江,温州市,本科,民办,温州医科大学仁济学院,温州医科大学仁济学院
浙江中医药大学滨江学院,https://zsb.zcmu.edu.cn,4133013285,13285,,浙江省教育厅,浙江,杭州市,本科,民办,,
湖州学院,http://qzxy.zjhu.edu.cn/,4133013287,13287,,浙江省,浙江,湖州市,本科,,,
浙江工商大学杭州商学院,http://zs.zjhzcc.edu.cn/,4133013290,13290,D290,浙江省教育厅,浙江,杭州市,本科,民办,浙江工商大学杭州商学院,浙江工商大学杭州商学院
嘉兴南湖学院,http://zsb.jxnhu.edu.cn,4133013291,13291,,浙江省,浙江,嘉兴市,本科,,,
中国计量大学现代科技学院,https://zs.cjlu.edu.cn/,4133013292,13292,D292,浙江省教育厅,浙江,杭州市,本科,民办,中国计量大学现代科技学院,中国计量大学现代科技学院
温州商学院,http://zsw.wzbc.edu.cn,4133013637,13637,D637,浙江省教育厅,浙江,温州市,本科,民办,温州商学院,温州商学院
台州科技职业学院,https://www.tzvcst.edu.cn/zs,4133013746,13746,,浙江省,浙江,台州市,专科,,,
浙江国际海运职业技术学院,http://zs.zimc.cn,4133013853,13853,,浙江省,浙江,舟山市,专科,,,
浙江汽车职业技术学院,www.geely.edu.cn,4133014089,14089,,浙江省教育厅,浙江,台州市,专科,民办,,
浙江横店影视职业学院,http://www.hcft.edu.cn,4133014090,14090,,浙江省教育厅,浙江,金华市,专科,民办,,
上海财经大学浙江学院,http://zs.shufe-zj.edu.cn/,4133014207,14207,E207,浙江省教育厅,浙江,金华市,本科,民办,上海财经大学浙江学院,上海财经大学浙江学院
浙江农业商贸职业学院,https://zs.zjabc.edu.cn/list/3/1.shtml,4133014269,14269,,浙江省,浙江,绍兴市,专科,,,
浙江外国语学院,http://zs.zisu.edu.cn,4133014275,14275,E275,浙江省,浙江,杭州市,本科,,浙江外国语学院,浙江外国语学院
浙江音乐学院,http://www.zjcm.edu.cn/,4133014535,14535,,浙江省,浙江,杭州市,本科,,,
宁波诺丁汉大学,www.nottingham.edu.cn,4133016301,16301,F301,浙江省教育厅,浙江,宁波市,本科,中外合作办学,宁波诺丁汉大学,宁波诺丁汉大学
温州肯恩大学,https://wku.edu.cn/admissions/,4133016405,16405,F405,浙江省教育厅,浙江,温州市,本科,中外合作办学,温州肯恩大学,温州肯恩大学
浙江大学医学院,https://zdzsc.zju.edu.cn,,19335,H335,,浙江,,,,浙江大学医学院,浙江大学医学院
武警海警学院,无,,91044,P044,,浙江,,,,武警海警学院,
安徽大学,http://zsb.ahu.edu.cn/,4134010357,10357,A357,安徽省,安徽,合肥市,本科,,安徽大学,安徽大学
中国科学技术大学,https://zsb.ustc.edu.cn/,4134010358,10358,A358,中国科学院,安徽,合肥市,本科,,中国科学技术大学,中国科学技术大学
合肥工业大学,http://bkzs.hfut.edu.cn/,4134010359,10359,A359,教育部,安徽,合肥市,本科,,合肥工业大学,合肥工业大学
安徽工业大学,http://zs.ahut.edu.cn/index/zsjz1/zszhangcheng.htm,4134010360,10360,A360,安徽省,安徽,马鞍山市,本科,,安徽工业大学,安徽工业大学
安徽理工大学,http://zs.aust.edu.cn/zszc3.htm,4134010361,10361,A361,安徽省,安徽,淮南市,本科,,安徽理工大学,安徽理工大学
安徽工程大学,http://zsb.ahpu.edu.cn/,4134010363,10363,A363,安徽省,安徽,芜湖市,本科,,安徽工程大学,安徽工程大学
安徽农业大学,http://www.ahau.edu.cn/,4134010364,10364,A364,安徽省,安徽,合肥市,本科,,安徽农业大学,安徽农业大学
安徽医科大学,zs.ahmu.edu.cn,4134010366,10366,A366,安徽省,安徽,合肥市,本科,,安徽医科大学,安徽医科大学
蚌埠医学院,https://www.bbmc.edu.cn/,4134010367,10367,A367,安徽省,安徽,蚌埠市,本科,,蚌埠医科大学,蚌埠医学院
安徽中医药大学,http://bkzs.ahtcm.edu.cn/,4134010369,10369,A369,安徽省,安徽,合肥市,本科,,安徽中医药大学,安徽中医药大学
安徽师范大学,http://zsxx.ahnu.edu.cn/,4134010370,10370,A370,安徽省,安徽,芜湖市,本科,,安徽师范大学,安徽师范大学
阜阳师范大学,http://www.fynu.edu.cn/bkzsxxw/,4134010371,10371,A371,安徽省,安徽,阜阳市,本科,,阜阳师范大学,阜阳师范大学
安庆师范大学,https://zsw.aqnu.edu.cn/zszc.htm,4134010372,10372,A372,安徽省,安徽,安庆市,本科,,安庆师范大学,安庆师范大学
淮北师范大学,http://zsb.chnu.edu.cn,4134010373,10373,A373,安徽省,安徽,淮北市,本科,,淮北师范大学,淮北师范大学
黄山学院,https://zsb.hsu.edu.cn/,4134010375,10375,A375,安徽省,安徽,黄山市,本科,,黄山学院,黄山学院
皖西学院,https://zsb.wxc.edu.cn/,4134010376,10376,,安徽省,安徽,六安市,本科,,,
滁州学院,https://zsw.chzu.edu.cn/5388/list.htm,4134010377,10377,A377,安徽省,安徽,滁州市,本科,,滁州学院,滁州学院
安徽财经大学,http://zsjy.aufe.edu.cn/,4134010378,10378,A378,安徽省,安徽,蚌埠市,本科,,安徽财经大学,安徽财经大学
宿州学院,http://www.ahszu.edu.cn/zs/,4134010379,10379,A379,安徽省,安徽,宿州市,本科,,宿州学院,宿州学院
巢湖学院,https://www.chu.edu.cn/zsw/,4134010380,10380,A380,安徽省,安徽,合肥市,本科,,巢湖学院,
淮南师范学院,https://zsw.hnnu.edu.cn/,4134010381,10381,A381,安徽省,安徽,淮南市,本科,,淮南师范学院,淮南师范学院
铜陵学院,http://zsb.tlu.edu.cn/,4134010383,10383,A383,安徽省,安徽,铜陵市,本科,,铜陵学院,铜陵学院
安徽职业技术学院,https://www.uta.edu.cn/zsw/,4134010869,10869,,安徽省,安徽,合肥市,专科,,,
安徽建筑大学,https://www.ahjzu.edu.cn/zsw/,4134010878,10878,A878,安徽省,安徽,合肥市,本科,,安徽建筑大学,安徽建筑大学
安徽科技学院,http://www.ahstu.edu.cn/zs/,4134010879,10879,A879,安徽省,安徽,滁州市,本科,,安徽科技学院,安徽科技学院
安徽三联学院,https://www.slu.edu.cn,4134010959,10959,A959,安徽省教育厅,安徽,合肥市,本科,民办,安徽三联学院,
淮北职业技术学院,www.hbvtc.net,4134010963,10963,,安徽省,安徽,淮北市,专科,,,
合肥学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-706.dhtml,4134011059,11059,B059,安徽省,安徽,合肥市,本科,,合肥大学,合肥学院
蚌埠学院,http://zhaoban.bbc.edu.cn/,4134011305,11305,B305,安徽省,安徽,蚌埠市,本科,,蚌埠学院,蚌埠学院
池州学院,http://zs.czu.edu.cn,4134011306,11306,B306,安徽省,安徽,池州市,本科,,池州学院,
安徽医学高等专科学校,http://zsw.ahyz.edu.cn/,4134012925,11961,,安徽省,安徽,合肥市,专科,,,
亳州学院,http://www.bzuu.edu.cn/zzxx/,4134012926,11963,B963,安徽省,安徽,亳州市,本科,,亳州学院,亳州学院
安徽中医药高等专科学校,http://www.ahzyygz.edu.cn/second/zsw,4134012924,11968,,安徽省,安徽,芜湖市,专科,,,
安徽商贸职业技术学院,https://www.abc.edu.cn,4134012072,12072,,安徽省,安徽,芜湖市,专科,,,
阜阳职业技术学院,http://zsxxw.fyvtc.edu.cn/,4134012074,12074,C074,安徽省,安徽,阜阳市,专科,,阜阳职业技术学院,
安徽新华学院,http://zhaosheng.axhu.edu.cn/contents/2686/156279.html,4134012216,12216,C216,安徽省教育厅,安徽,合肥市,本科,民办,安徽新华学院,安徽新华学院
铜陵职业技术学院,http://www.tlpt.net.cn/zsjy/zszt/index.html,4134012217,12217,,安徽省,安徽,铜陵市,专科,,,
安徽警官职业学院,http://www.ahjgxy.com/zsjyw/news/list_932.aspx,4134012219,12219,,安徽省,安徽,合肥市,专科,,,
安徽工业经济职业技术学院,http://www.ahiec.net/,4134012334,12334,,安徽省,安徽,合肥市,专科,,,
合肥通用职业技术学院,http://www.hftyxy.com/,4134012410,12410,,安徽省,安徽,合肥市,专科,,,
安徽文达信息工程学院,www.wenda.edu.cn/zs/,4134012810,12810,C810,安徽省教育厅,安徽,合肥市,本科,民办,安徽文达信息工程学院,安徽文达信息工程学院
安徽工贸职业技术学院,http://www.ahgmedu.cn/zs/,4134012811,12811,,安徽省,安徽,淮南市,专科,,,
宿州职业技术学院,http://www.szzy.ah.cn/,4134012812,12812,,安徽省,安徽,宿州市,专科,,,
六安职业技术学院,https://zsw.lvtc.edu.cn,4134012813,12813,,安徽省,安徽,六安市,专科,,,
安徽电子信息职业技术学院,https://www.ahdy.edu.cn,4134012814,12814,,安徽省,安徽,蚌埠市,专科,,,
民办合肥经济技术职业学院,http://www.hfet.com/tmp/special/189/news.shtml?d_ID=8874&SS_ID=191,4134012815,12815,,安徽省教育厅,安徽,合肥市,专科,民办,,
合肥职业技术学院,https://zs.htc.edu.cn/,4134013058,13058,,安徽省,安徽,合肥市,专科,,,
滁州职业技术学院,https://www.chzc.edu.cn/zsxxw/,4134013059,13059,,安徽省,安徽,滁州市,专科,,,
池州职业技术学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do,4134013060,13060,,安徽省,安徽,池州市,专科,,,
宣城职业技术学院,https://www.zs.xcvtc.edu.cn,4134013061,13061,,安徽省,安徽,宣城市,专科,,,
安徽广播影视职业技术学院,http://www.amtc.edu.cn/zsw/537/list.htm,4134013062,13062,,安徽省,安徽,合肥市,专科,,,
安徽外国语学院,www.aisu.edu.cn/zsb/,4134013065,13065,,安徽省教育厅,安徽,合肥市,本科,民办,,
安徽冶金科技职业学院,https://zhao.avcmt.edu.cn/,4134013337,13337,,安徽省,安徽,马鞍山市,专科,,,
安徽城市管理职业学院,https://zjb.cua.edu.cn/pgzs_1348/list.htm,4134013338,13338,,安徽省,安徽,合肥市,专科,,,
安徽工商职业学院,www.ahbvc.edu.cn,4134013340,13340,,安徽省,安徽,合肥市,专科,,,
安徽中澳科技职业学院,www.acac.edu.cn,4134013341,13341,,安徽省,安徽,合肥市,专科,,,
阜阳科技职业学院,http://www.fky.net.cn/,4134013342,13342,,安徽省教育厅,安徽,阜阳市,专科,民办,,
亳州职业技术学院,http://www.bzy.edu.cn/,4134013343,13343,,安徽省,安徽,亳州市,专科,,,
安徽国防科技职业学院,https://www.acdt.edu.cn,4134013344,13344,,安徽省,安徽,六安市,专科,,,
安庆职业技术学院,https://www.ahzsks.cn/zyyx/4979.htm,4134013345,13345,,安徽省,安徽,安庆市,专科,,,
蚌埠工商学院,http://acsxy.aufe.edu.cn/sxyzjw/,4134013611,13611,D611,安徽省教育厅,安徽,蚌埠市,本科,民办,蚌埠工商学院,蚌埠工商学院
安徽大学江淮学院,zs.ahujhc.cn,4134013612,13612,,安徽省教育厅,安徽,合肥市,本科,民办,,
安徽信息工程学院,https://zsxx.aiit.edu.cn/,4134013613,13613,D613,安徽省教育厅,安徽,芜湖市,本科,民办,安徽信息工程学院,安徽信息工程学院
马鞍山学院,http://zs.masu.edu.cn/,4134013614,13614,D614,安徽省教育厅,安徽,马鞍山市,本科,民办,马鞍山学院,马鞍山学院
合肥城市学院,https://www.ajduc.edu.cn/zsb,4134013615,13615,,安徽省教育厅,安徽,合肥市,本科,民办,,
安徽医科大学临床医学院,http://cc.ahmu.edu.cn/zhaosheng/,4134013618,13618,D618,安徽省教育厅,安徽,合肥市,本科,民办,安徽医科大学临床医学院,
淮北理工学院,http://www.chsi.com.cn,4134013620,13620,,安徽省教育厅,安徽,淮北市,本科,民办,,
安徽国际商务职业学院,http://zhaosheng.ahiib.edu.cn/,4134013846,13846,,安徽省,安徽,合肥市,专科,,,
安徽审计职业学院,http://zsxxw.ahsjxy.cn/,4134013849,13849,,安徽省,安徽,合肥市,专科,,,
安徽新闻出版职业技术学院,http://www.ahcbxy.edu.cn/,4134013850,13850,,安徽省,安徽,合肥市,专科,,,
安徽工业职业技术学院,http://www.ahip.cn:84/zsw/news/161663730979466065.html,4134013852,13852,,安徽省,安徽,铜陵市,专科,,,
民办合肥财经职业学院,http://www.hfcfe. edu.cn,4134014058,14058,,安徽省教育厅,安徽,合肥市,专科,民办,,
安庆医药高等专科学校,www.aqmc.edu.cn/aqzs,4134014096,14096,,安徽省,安徽,安庆市,专科,,,
合肥师范学院,http://zsb.hfnu.edu.cn/,4134014098,14098,E098,安徽省,安徽,合肥市,本科,,合肥师范学院,合肥师范学院
安徽绿海商务职业学院,https://gaokao.chsi.com.cn/htgl/,4134014133,14133,,安徽省教育厅,安徽,合肥市,专科,民办,,
合肥共达职业技术学院,http://www.hfgdxy.cn/Dzs/lists4,4134014135,14135,,安徽省教育厅,安徽,合肥市,专科,民办,,
蚌埠经济技术职业学院,http://www.bjy.ah.cn/,4134014137,14137,,安徽省教育厅,安徽,蚌埠市,专科,民办,,
徽商职业学院,http://zhaoshen.huishangedu.cn/,4134014191,14191,,安徽省,安徽,合肥市,专科,,,
皖江工学院,"https://www.wjut.edu,cn/",4134014203,14203,E203,安徽省教育厅,安徽,马鞍山市,本科,民办,皖江工学院,皖江工学院
安徽现代信息工程职业学院,http://www.ahmodern.cn/,4134014210,14210,,安徽省教育厅,安徽,淮南市,专科,民办,,
安徽矿业职业技术学院,http://www.anhky.com/show.asp?id=5381,4134014229,14229,,安徽省教育厅,安徽,淮北市,专科,民办,,
桐城师范高等专科学校,https://gaokao.chsi.com.cn/htgl/zszc/sch/listNeedVerifyZszc.do?method=view&infoId=3134615342&schId=4,4134014273,14273,,安徽省,安徽,安庆市,专科,,,
黄山职业技术学院,http://zsw.hszy.edu.cn/,4134014296,14296,,安徽省,安徽,黄山市,专科,,,
滁州城市职业学院,http://www.czcvc.net/,4134014297,14297,,安徽省,安徽,滁州市,专科,,,
安徽汽车职业技术学院,http://www.jacedu.cn/,4134014298,14298,,安徽省,安徽,合肥市,专科,,,
皖西卫生职业学院,http://www.wahvc.edu.cn/,4134014299,14299,,安徽省,安徽,六安市,专科,,,
合肥幼儿师范高等专科学校,https://zsb.hfpec.edu.cn/,4134014330,14330,,安徽省,安徽,合肥市,专科,,,
安徽扬子职业技术学院,http://www.ahyzxy.cn/,4134014342,14342,,安徽省教育厅,安徽,芜湖市,专科,民办,,
安徽卫生健康职业学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-347054931.dhtml,4134014419,14419,,安徽省,安徽,池州市,专科,,,
合肥科技职业学院,http://www.hfstu.cn/,4134014420,14420,,安徽省教育厅,安徽,合肥市,专科,民办,,
皖北卫生职业学院,https://gaokao.chsi.com.cn/htgl/zszc/sch/listNeedVerifyZszc.do?method=view&infoId=3124212454&schId=1,4134014502,14502,,安徽省,安徽,宿州市,专科,,,
安徽艺术学院,http://www.ahua.edu.cn,4134014682,14682,,安徽省,安徽,合肥市,本科,,,
黄山健康职业学院,https://gaokao.chsi.com.cn/,4134014704,14704,,安徽省教育厅,安徽,黄山市,专科,民办,,
宿州航空职业学院,https://gaokao.chsi.com.cn,4134014747,14747,,安徽省教育厅,安徽,宿州市,专科,民办,,
合肥工业大学(宣城校区),http://bkzs.hfut.edu.cn/static/front/hfut/basic/html_cms/index.html,,19359,H359,,安徽,,,,合肥工业大学(宣城校区),合肥工业大学(宣城校区)
陆军炮兵防空兵学院,无,,91007,P007,,安徽,,,,陆军炮兵防空兵学院,
厦门大学,zs.xmu.edu.cn,4135010384,10384,A384,教育部,福建,厦门市,本科,,厦门大学,厦门大学
华侨大学,zsc.hqu.edu.cn,4135010385,10385,A385,中央统战部,福建,泉州市,本科,,华侨大学,华侨大学
福州大学,https://zsks.fzu.edu.cn/,4135010386,10386,A386,福建省,福建,福州市,本科,,福州大学,福州大学
福建工程学院,https://join.fjut.edu.cn/zszc/list.htm,4135010388,10388,A388,福建省,福建,福州市,本科,,福建理工大学,福建工程学院
福建农林大学,https://zsb.fafu.edu.cn/,4135010389,10389,A389,福建省,福建,福州市,本科,,福建农林大学,福建农林大学
集美大学,http://zsb.jmu.edu.cn/info/1041/3780.htm,4135010390,10390,A390,福建省,福建,厦门市,本科,,集美大学,集美大学
福建医科大学,www.fjmu.edu.cn/zs,4135010392,10392,A392,福建省,福建,福州市,本科,,福建医科大学,福建医科大学
福建师范大学,https://zsb.fjnu.edu.cn/,4135010394,10394,A394,福建省,福建,福州市,本科,,福建师范大学,福建师范大学
闽江学院,http://zsb.mju.edu.cn,4135010395,10395,A395,福建省,福建,福州市,本科,,闽江学院,闽江学院
武夷学院,http://www.wuyiu.edu.cn/zsb/2780/list.htm,4135010397,10397,A397,福建省,福建,南平市,本科,,武夷学院,武夷学院
